,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
10,3-Methylindole,13018,13298,16950,16614,9212,8916,15900,13994,14954,15380,15130,13758,10834,12704,7074,8228,8910,8766,12000,13066,9730,8172,18880,15566,8040,7544,19208,19754,10354,10320,17180,17556,9948,10712,14272,11988,0,7846,5846,5652,5376,17564,8296,8418,8250,7442,19880,17162,1800,1784,1796,1354,5180,4422,3026,2688,2322,1782,20604,19112,9102,9400,12034,11138,9288,9340,9912,8946,6614,8206,6764,6524,12866,10804,14680,18132,5452,4456,10432,9890,11164,12520,8296,8156,4068,11136,18904,17220,9224,8184
11,3-Methylxanthine,1238,1426,358,394,260,184,192,254,582,390,298,322,334,582,204,240,534,516,222,274,3648,3664,636,1006,340,730,1874,1490,5964,6662,1102,1008,204,1306,644,410,898,1914,2354,688,998,922,1742,1994,354,300,1272,1694,236,154,0,106,262,560,200,866,278,502,1894,2184,678,818,404,216,910,0,3232,2822,376,410,768,366,598,1034,1946,1896,376,366,1386,2084,384,478,474,244,308,498,366,266,1296,1226
12,4-Aminophenol,9686,10252,286,300,36328,30878,2252,2282,408,294,84868,82758,2222,2860,1204,550,74052,69154,13406,13542,22912,22954,2200,1352,31390,34516,70286,61972,21670,22952,1390,1740,394,216,28376,26792,3980,3068,1312,790,540,580,750,630,4562,3222,5130,4654,1604,1310,1406,1508,7354,5954,602,314,9292,11442,6706,5922,206,240,1938,1428,408,360,4472,3782,14628,14482,822,734,398,294,144904,133724,170,164,544,338,236,192,222,268,15648,17188,2746,3362,37842,33486
13,5-Hydroxy-L-tryptophan,358,436,898,1174,692,772,890,914,1384,1444,530,242,698,716,614,350,772,948,986,798,1138,1424,1422,1714,658,790,1878,2708,3200,3150,1916,2690,2116,2900,1382,1358,5080,4540,2112,1934,1742,1392,800,646,550,462,1136,1250,338,270,466,0,578,614,926,216,284,474,2716,2916,1872,2056,2378,1976,1742,2126,1416,1004,540,730,1080,896,2466,1724,4064,5156,554,566,1838,1902,1918,1670,952,1546,562,546,4358,3758,1190,1530
14,5-Hydroxyindoleacetic acid,16476,14766,14464,12840,12794,12390,40390,40256,11080,13048,28960,29264,16328,16430,8078,8024,7306,7500,8744,11776,18882,16786,14604,15474,7732,6820,17226,15810,20610,20270,31868,31146,17450,14632,16340,16014,13784,12166,16816,18214,11604,12166,14070,12934,14690,13338,20804,21780,2696,2426,1664,1752,6066,6038,9206,10262,2866,2248,25076,22870,8456,9358,14258,13246,18636,20464,7372,6504,7840,6688,8664,8316,15716,14694,15310,16624,8592,8630,18294,17830,13656,14174,7022,6440,5792,6350,11078,11768,18096,17498
15,9-Methyluric acid,2096,2304,486,366,782,360,1248,672,1168,680,1250,874,1534,1350,504,112,418,652,0,498,5806,7218,1828,2144,970,1340,3456,2322,11426,12774,2690,2644,950,1100,1466,1142,74080,78900,5450,5238,2088,2176,6438,5464,396,242,1502,1466,0,0,0,0,0,0,1374,1236,0,0,3322,3480,1242,816,544,252,1540,1282,2766,2410,464,530,404,748,676,904,1708,2040,0,372,2712,2980,0,602,308,322,0,0,1542,1424,1634,1624
16,Acetaminophen,76540,78176,2244,2566,212798,215792,18236,17854,2310,2402,529240,516154,20900,20978,6518,5562,486162,447966,88998,91904,166096,162264,10234,11776,219518,210822,448672,418162,161856,156160,10372,11794,1480,1496,179260,182762,26124,25118,8084,10606,2550,3676,5166,5208,31186,29040,36180,32466,15134,15122,7584,6992,49988,43462,4240,3844,77390,79414,52296,48946,1608,1090,10352,11138,1646,1962,33942,32510,117686,107576,5048,5060,1220,1340,723544,718206,1020,0,3496,2572,1888,1330,1450,1044,125464,107316,17882,19054,189022,212024
17,Acetaminophen glucuronide,15396,13930,574,104,29764,31960,1826,2300,374,0,51580,46626,2130,1272,1294,934,71382,77256,5560,5748,72248,75836,1700,1614,22022,21026,46514,50048,42742,42724,2134,1968,204,0,39436,37360,67476,66388,16750,18506,704,718,2648,2238,6412,6518,3612,2634,2590,2284,2082,2736,5212,5570,1916,1338,3204,4022,10884,12832,0,0,778,914,0,252,13220,12644,30102,28882,2142,1824,0,0,64202,60604,0,0,538,472,0,172,0,0,14790,12530,6596,4270,41692,45144
18,Acetic acid,37224,34802,39198,38142,39166,42450,42038,36326,42872,46280,46844,46478,59562,55322,54402,54090,55012,59090,58188,60086,59516,57296,60396,59178,60288,57868,59932,59574,60388,57692,58272,0,52836,0,53594,54808,51854,54842,55048,56934,56132,57718,52604,55582,56706,56856,52070,55430,47538,52222,49734,49038,51690,53262,52214,56632,54422,53998,59758,54248,49168,53630,56378,53618,20710,49420,58310,51636,53774,51556,54724,52616,44030,49904,43814,55198,54460,52054,59098,53802,51490,53532,48706,54890,52468,54412,61002,52650,53842,54244
19,Acetone,22626,24590,24160,23578,25678,27310,27888,0,29248,29862,26620,32192,35912,2004,39554,37546,38204,40718,40006,39038,39866,36572,39236,38412,40364,41416,29294,36444,37846,41298,39246,37980,39146,37596,39620,38310,37702,38628,35802,40802,41310,41816,43886,40706,39772,43154,37574,39854,35426,39944,35516,35166,34556,38536,37970,34802,34350,36870,38608,34960,36842,31970,36486,35594,36330,0,39550,35172,32532,35222,34916,33886,33740,36764,32800,36274,32630,37048,38068,37206,36166,29684,32092,35120,36326,35936,35744,37046,34618,34524
20,Adenosine monophosphate,3360,3298,4250,3892,14432,7310,3264,4060,13230,25158,5300,5762,16120,14608,3254,2944,5440,6382,3420,4670,3072,2924,5176,4724,1580,1720,7572,6228,3376,4626,9348,11002,3332,3006,10838,1150,6378,6586,3520,4560,10128,10444,476,5140,6110,5604,4906,4508,292,4876,3440,3576,0,3588,6366,2636,4518,4428,5892,6074,6712,5474,18754,25816,17618,36024,3576,8744,5414,8074,7588,7650,10826,12914,13070,17100,7856,6086,26990,16954,23442,20214,12870,17800,2592,3842,5268,5072,5292,9842
21,Allantoin,1612,1712,2080,1718,1810,1564,1464,1758,1926,1910,1936,2070,1976,1966,1668,1646,2070,2432,1712,2114,2052,2304,2490,2420,1818,1692,2094,2668,2466,1802,2528,2768,2310,2402,2276,3104,2502,2712,2270,2524,1892,1980,1992,1860,1776,2002,2150,1896,838,158,496,454,90,1532,224,934,572,336,1654,1564,1020,1288,1934,1546,1732,1678,1124,1280,1106,1278,118,946,1530,1664,1542,1420,1050,1280,1688,2216,1788,1708,1788,1708,342,1058,1958,1582,644,1590
22,Alpha-ketoisovaleric acid,9126,10330,11378,10116,6198,6504,11100,9772,10986,10840,9136,10742,8962,7390,4334,3882,5578,5460,7878,8240,6226,4516,11880,10622,5542,5048,15320,15026,8074,6484,12906,12760,6048,5614,7188,7384,6618,6704,3982,2528,9592,10762,5858,4646,5944,4862,13150,13962,1020,1250,792,984,3068,3150,1860,2174,992,1196,13192,13188,5160,6646,7084,7452,8986,5222,4120,5298,4334,4686,3698,4070,8486,6356,12216,11870,2772,2304,6090,6254,7884,9154,4426,5994,2514,8818,10276,10476,6536,5552
23,Alpha-N-phenylacetyl-L-glutamine,13774,12948,54648,55608,5768,4762,55788,57660,19782,17206,17618,18572,13790,10392,1620,880,15748,16578,31952,28146,47806,50144,16230,15184,7844,7630,21858,22304,62410,50742,88526,88382,16508,16426,2398,2504,786226,771168,261286,271024,77974,77636,67822,75212,11860,12556,7472,6432,2408,2420,1504,1376,9780,8848,58686,55038,1532,2074,5686,5494,8372,8584,36124,33416,2940,0,20710,15498,20766,22166,33740,35090,10384,10742,18136,21878,2828,2746,109188,97846,22152,19746,10692,9188,10174,9302,51356,45222,21102,16914
24,Aniline,3156,3890,2252,2286,3220,3260,10156,10456,2826,2766,8258,7932,2990,4980,1734,1952,2934,2282,2688,2138,4874,5868,4892,4364,1016,1654,4562,4762,5166,3940,9874,10040,3588,3248,6452,4570,4092,4986,4938,3730,2836,3122,2308,3124,2742,2652,6006,4632,624,552,456,382,1562,1156,2098,1684,540,882,8470,8656,1638,1452,3148,4158,4874,3848,1464,1592,1730,1444,1716,2028,3576,3270,4596,3772,1714,1526,3744,4636,4342,4002,1330,1398,1650,1476,3426,3324,5422,4732
25,Aspartame,10096,10226,10452,10654,7782,7954,14992,16456,16608,18624,8770,8310,18376,21192,5726,5630,9156,8580,16154,13428,19334,15956,18982,17934,6902,6136,28550,27024,14698,14674,30096,31234,12926,12594,16920,15912,19062,19018,12048,14870,13184,11864,15608,15892,7190,8452,13096,13804,1270,1492,954,1270,6218,5706,8306,9728,2264,1786,15422,17376,4298,4638,11274,13452,15038,16966,7658,6862,5410,5242,5590,5180,10648,10630,13478,11330,3750,3832,9726,7518,14376,10656,8552,5970,2618,2748,10292,11250,14278,11834
26,Azelaic acid,5316,5986,10372,8588,2178,2072,2716,1994,876,964,1722,3210,1674,1442,662,948,2440,4038,3298,4554,3566,3588,2204,1656,692,648,1226,1556,3114,2876,868,1142,1770,936,1882,2564,5402,4660,1194,1080,2358,2740,490,656,524,612,3000,2376,0,104,0,0,440,170,0,346,414,368,1404,1184,1106,1080,3678,4240,5110,5362,2046,1156,742,264,482,368,2082,1972,906,1148,318,210,1882,1940,1568,1808,1404,1252,638,508,2366,1944,594,460
27,Benzaldehyde,3608,4086,4290,3960,4024,3440,6318,5098,5604,6100,6422,5094,5804,6196,3200,2928,3432,3156,5384,4978,6124,5572,6134,6698,2344,2212,6102,8224,5072,4652,7600,8106,4108,4066,7654,6678,4740,5226,3704,3686,5980,5228,4050,3980,3586,2876,5662,5752,1126,646,708,722,2362,2760,1932,2038,1328,674,8486,9482,2492,2490,6128,5028,6992,6252,2814,3378,2518,2094,2616,2954,4352,4896,6374,6088,2240,1946,4930,4836,3874,5758,3860,3138,1752,1988,4772,6160,4690,5910
28,Benzocaine,2504,2002,2242,2846,1524,1586,3458,3934,3784,4624,2110,1684,4086,3592,1350,1284,2518,1640,3636,2968,3398,3974,3974,3500,1310,1518,5166,5384,3422,3260,7506,6332,2462,2856,3628,4134,3774,4450,2186,3876,3324,3102,3082,2870,1620,2328,3030,2934,238,546,424,450,1196,1308,1676,2122,550,446,4002,3834,1254,1776,2466,2132,3496,3400,2200,1780,1388,1128,1444,1662,2092,2046,2266,2722,1216,1068,1942,2278,2372,2830,1590,1738,608,616,2762,2866,2728,2982
29,Benzoic acid,7142,5980,7306,8446,3032,4572,9698,9280,6020,3636,3688,3990,2616,2106,3498,3404,4840,4470,4456,4606,4422,4732,8658,8736,3274,3344,4176,5522,3310,2104,8820,9636,3628,4034,9068,0,5296,5648,4574,4482,7204,7860,1734,2716,3706,4576,6450,7830,0,1022,1178,922,2656,3522,2284,3510,1408,500,6982,5484,3120,3068,7580,8682,5982,3960,2202,3250,4448,4426,3566,2302,5346,5486,7220,6052,2488,2934,4978,2734,5612,3686,2658,4240,1930,408,2624,4106,2858,4102
30,Cadaverine,55194,63262,123974,108716,39398,36176,30968,38580,16414,13468,36200,41480,16262,14774,9744,9886,31760,29390,32756,29732,34930,42446,19862,15080,8480,10550,15318,14920,31526,33084,14706,13810,21590,12618,19232,27366,50744,37354,16068,13538,33236,34126,6518,6938,7064,3974,14312,14802,0,1720,1992,1898,2490,2666,2470,3590,2656,3234,12088,13132,10026,9692,34288,24360,27814,25768,9480,12600,6418,2498,3246,2628,10346,12788,11290,7492,3314,2520,6856,5888,6376,8768,8400,5968,3524,2210,9372,9020,5834,3298
31,Caffeine,131514,117632,5204,4560,155592,127570,10490,10490,58208,59388,69636,78374,466750,417098,80910,81482,172532,162728,51058,50234,180572,184948,75102,75734,124330,142728,466848,470822,433030,385898,233178,245488,28642,25028,157034,161494,592,264,118886,118382,33420,38666,133620,141740,17636,17746,233788,220852,2542,2958,12150,12146,3064,2742,604,914,9252,8858,367178,364994,52178,53110,570,208,22292,20020,179846,185558,28202,26840,37774,33944,44966,38510,194762,172070,4928,7058,269386,300284,1614,1572,16788,15170,326,454,37052,45834,295196,295276
32,Chlorpheniramine,4000,4978,4120,4564,4774,0,3864,3012,4116,4132,4374,3940,3510,3238,600,4236,4272,3964,4638,3054,3638,3218,4244,3332,262,550,3734,3406,0,856,3160,2930,2494,0,2496,4118,3530,0,3728,2758,3168,3078,2224,1976,2026,2064,3728,0,376,742,0,0,3006,330,1432,2096,1526,246,4156,6554,2530,2740,3970,4790,4010,5406,2076,0,2520,0,2184,2628,3768,5228,5076,4716,344,1524,3470,4182,4584,4632,2918,3564,1902,2204,4452,3396,2030,1518
33,Cinnamic acid,23472,22426,23016,21914,21360,16136,34450,32512,28818,30206,29340,32628,30868,31566,19176,18604,19314,20586,29878,24662,28024,27238,30966,31424,15516,14452,32286,35836,25664,20544,39550,37282,21444,23874,36796,33328,22102,25518,22780,21358,29304,27036,21386,21108,21204,19660,31690,31242,4956,4616,3664,4332,13392,14126,10318,12522,5292,5690,41482,40794,13890,12800,31882,35772,32760,29846,15414,14840,14182,13790,16932,17146,22750,22558,25086,29440,14970,13656,24126,25306,27500,26592,18612,19908,11630,11682,28832,30292,29338,25740
34,Cis-Aconitic acid,4430,3394,4024,3606,2714,3406,2948,3784,3404,3984,3900,3706,3206,4070,3278,3446,4362,4254,4130,4260,5094,4452,4166,3834,3352,3508,4064,4138,3490,3488,3492,3782,3972,4066,3926,4086,3278,3750,3528,2906,4596,4176,4504,3002,3604,4180,3796,3894,1718,1650,1868,1224,1818,2362,2116,2050,1660,1792,3738,3772,2930,2468,3376,3604,4084,3190,0,2812,2386,2672,2416,2654,3648,3202,3968,3672,2452,2898,3666,3664,3294,3724,2852,2360,2286,2598,4844,4230,2814,2564
35,Cortisol,5816,5674,18994,18182,7052,6088,388,360,1834,2198,15668,15358,17594,18336,10446,10986,25818,22452,29790,29364,14704,13086,1482,2046,5068,5070,23744,21600,17660,11008,3312,3622,17186,14994,2658,2584,2758,2808,16236,16600,25804,24106,7676,8106,3218,3530,8404,8398,3236,3206,142,144,868,1058,6648,6286,0,288,21112,21022,7430,7848,2750,2746,1860,1262,4280,4424,3396,3360,3178,3148,21086,23152,14938,14226,356,384,19440,16288,410,742,1566,1388,6880,7546,2778,1978,8960,8460
36,Creatine,1752,2222,1628,1108,1850,1628,3282,3584,3086,3140,4388,4228,3822,3414,2254,2570,2742,2624,3198,3624,5086,5644,3220,4358,1782,2350,3222,2676,5222,5298,3928,4784,4588,3046,3562,3714,11942,10960,6594,4874,2708,3140,2864,3024,2038,2410,5604,4270,620,798,418,666,0,876,2002,2018,148,582,3836,4008,1512,1482,2930,2688,3868,4352,0,1670,1974,1548,2722,2398,2186,2222,3624,3148,1798,1868,1868,1732,2648,2744,2186,1876,1134,1390,7708,7888,3236,3828
37,Cytosine,1816,2218,690,176,1326,978,3246,3548,818,858,1104,832,5594,4526,1360,430,908,800,820,1260,3122,3108,524,478,754,1118,5508,4850,3126,5872,2968,3344,3102,4106,2148,3980,14386,10998,1646,1924,1554,1196,1770,1684,1884,1922,1804,1172,474,776,0,258,202,704,0,0,296,0,2968,3200,226,282,906,1472,2544,4662,906,1326,1142,962,872,226,688,518,2834,2666,684,600,1166,998,678,482,310,362,212,388,306,302,1466,2338
38,Deoxycholic acid glycine conjugate,4514,3254,9556,8224,3330,2960,2902,2934,10502,11312,35438,48568,2108,2308,40172,40320,10578,11260,3298,3136,6158,6690,4914,5094,3280,3164,7464,5708,4900,3316,1156,1262,828,844,9290,10720,1946,1444,678,718,11216,9754,854,842,1408,1394,2702,2514,0,0,0,0,1350,1120,582,884,0,0,21808,20776,1060,1040,1932,2480,3788,3110,1812,1444,846,1226,19884,33188,10752,10764,33646,30546,0,0,2738,3312,1878,2168,790,594,0,0,10698,11714,328,308
39,DL-2-aminooctanoic acid,9930,11248,6060,5732,0,444,428,170,530,720,870,720,458,484,276,266,1464,1440,1176,1606,2188,2814,284,290,676,436,1068,918,1264,1622,2018,1432,550,434,0,396,480,570,840,658,3200,3004,3270,3156,428,286,2164,2354,0,264,412,316,356,132,398,404,228,366,2446,2122,560,544,330,260,570,564,2296,1704,778,682,828,1144,1202,1012,1762,2512,514,878,2190,2390,608,734,382,238,768,570,4966,5514,638,450
40,Elaidic acid,17360,20554,15552,11908,11070,7498,7064,5336,2902,4534,6452,8986,5906,6124,7592,6786,6674,7836,10900,9286,11048,7748,5984,4052,5022,6646,7802,7750,8880,8572,10226,12252,10962,10866,8644,10886,11412,12610,12930,12120,11556,11280,7416,6736,6620,4246,3136,4334,4880,6068,5290,5976,5084,6130,6842,8418,11200,12038,11142,12210,14982,12772,15690,19132,16362,15016,10848,11360,8068,6414,4814,5362,6606,7128,8746,7238,7948,8324,4644,4650,7248,7042,8332,9666,5906,5030,4068,4068,5502,4814
41,Ethanolamine,2126,2292,3658,4310,1126,1296,1690,1546,1902,1566,2456,1870,1808,1534,1432,1602,2376,2882,2008,2712,2192,1716,2476,2400,1262,1116,2474,1728,2220,1524,22278,3880,1336,1188,2176,2302,1862,2558,1524,1550,2426,3210,1176,1182,1662,1318,2232,2726,882,968,850,538,1798,1254,1242,928,1090,984,2442,3360,1288,1416,2520,2878,3054,3282,1540,1176,1738,1674,2148,1764,2562,3068,2484,2786,1262,1222,2494,2714,3246,2782,2578,1906,1776,1686,4094,3300,1282,1056
42,Glucosamine,2032,1270,1686,2098,1744,1528,3144,3224,2632,2530,2282,3462,1968,1820,1034,664,1682,2054,2078,1484,5078,4388,2514,2722,1076,854,2990,2524,3914,3478,8118,7036,2210,2082,3040,2938,40456,35820,10618,7550,3058,2904,1666,1348,1684,1582,2346,1438,306,124,0,0,508,732,2466,2540,442,344,2848,2682,1428,1496,1530,1324,2534,2712,1184,1092,1000,1088,1480,1122,2016,1788,1676,2362,1210,1746,1956,2220,1808,1978,1028,1478,0,426,1986,2682,1206,2140
43,Glycerophosphocholine,968,1086,354,518,990,1158,532,248,552,710,1162,716,1266,1560,1044,874,1114,1488,2728,2390,1480,1200,2248,2574,2674,2646,756,748,732,762,1270,1458,878,734,1124,1250,662,624,1244,1184,1320,1574,1352,1430,1454,1050,1300,1296,404,474,526,520,848,0,962,640,646,810,1370,1428,2220,2282,1414,1526,870,958,2414,2418,1980,1750,3388,3272,1036,1126,664,832,1652,1400,710,908,1386,1644,1786,1410,1726,1720,1860,1612,1600,1344
